# Quantract.co.uk — Complete Feature & Capability Inventory

---

## Feature Inventory Table

| Feature Name | Description | Product | User Roles | Surface | Maturity | Evidence (files/routes) | Notes |
|---|---|---|---|---|---|---|---|
| **AUTHENTICATION & ACCESS** | | | | | | | |
| Password Login | Email/password auth with bcrypt, rate limiting, remember-me (30/90 day sessions) | Shared | Admin, Office, Engineer, Client | Web | ✅ Production | `/api/auth/password/login`, `serverAuth.ts` | Auto-bootstraps first admin from env vars |
| Magic Link Login | Passwordless email login with 15-min token TTL | Shared | Admin, Office, Engineer, Client | Web | ✅ Production | `/api/auth/magic-link/request`, `/verify` | Via Resend email provider |
| User Invitation System | Token-based invites with 7-day expiry, single-use, email-match enforcement | Shared | Admin | Web | ✅ Production | `/api/admin/invites`, `/invite/[token]`, `inviteValidation.ts` | Supports admin, office, engineer, client roles |
| Forgot Password | Password reset flow | Shared | Admin, Office, Engineer, Client | Web | ✅ Production | `/api/auth/forgot-password`, `/auth/forgot-password` | |
| Email Verification | Verify email on sign-up or change | Shared | Admin, Office, Engineer, Client | Web | ✅ Production | `/auth/verify-email`, `/api/auth/resend-verification` | |
| Multi-Company Switching | Switch between company contexts in multi-tenant setup | Shared | Admin, Office | Web | ✅ Production | `/api/auth/switch-company` | CompanyUser membership model |
| Role-Based Access Control | 5-role system (admin, office, finance, engineer, client) with capability-based permissions | Shared | Admin | Web | ✅ Production | `permissions.ts`, `middleware.ts` | Capabilities: billing.view/manage, invoices.view/manage, planner.manage, etc. |
| Per-User Permission Overrides | Granular capability overrides per user beyond role defaults | Shared | Admin | Web | ✅ Production | `/api/admin/users/[userId]/permissions` | UserPermission table |
| Admin Impersonation | Support staff can impersonate users with full audit trail | Shared | Admin | Web | ✅ Production | `/api/admin/impersonate/status`, `impersonation_logs` table | Logs IP, user agent, actions taken |
| Session Sync | Keep session state consistent across tabs/windows | Shared | Admin, Office, Engineer, Client | Web | ✅ Production | `/api/auth/session-sync` | 60s TTL cache on auth context |
| **MULTI-TENANCY & ONBOARDING** | | | | | | | |
| Tenant Provisioning | Create new company/tenant with initial setup | Shared | Admin | Web | ✅ Production | `/api/tenant/provision` | Subdomain-based isolation |
| Subdomain Routing | Custom subdomains per company (company.quantract.co.uk) | Shared | Admin | Web | ✅ Production | `middleware.ts`, `/admin/settings/subdomain` | Reserved subdomain list enforced |
| User Onboarding Flow | Step-by-step onboarding for new admin users | CRM | Admin | Web | 🟡 Functional but rough | `/admin/onboarding`, `/admin/onboarding/automation` | |
| Profile Completion | Complete user profile after initial signup | Shared | Admin, Office, Engineer, Client | Web | ✅ Production | `/api/profile/complete` | |
